frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
694,car,0.92,1,249,75,637,404,0.87,201,260,355,316,U808TA
710,car,0.4,3,8,25,638,473,,,,,,
744,car,0.36,7,0,52,584,439,,,,,,
753,car,0.39,12,0,55,490,438,,,,,,
864,bus,0.59,17,6,223,532,476,,,,,,
877,car,0.89,19,67,316,207,479,,,,,,
950,car,0.69,25,0,90,611,478,,,,,,
953,car,0.87,26,0,105,403,424,0.92,92,310,248,361,FJ270VA
1127,car,0.76,27,2,3,639,475,,,,,,
1137,car,0.73,29,2,114,386,378,,,,,,
1143,car,0.85,30,4,85,266,269,,,,,,
1179,car,0.85,35,49,105,480,434,,,,,,
1252,car,0.51,43,190,0,448,52,,,,,,
1449,bus,0.8,60,0,70,466,430,0.97,18,298,148,344,134BA
1570,car,0.57,70,3,73,486,479,,,,,,
1634,car,0.31,74,0,28,632,478,,,,,,
1817,car,0.76,78,0,46,539,445,0.12,34,287,204,348,M1346A
2206,bus,0.43,84,0,0,637,477,,,,,,
2511,car,0.63,85,0,0,639,480,,,,,,
2971,car,0.95,86,14,95,410,432,0.94,170,350,295,400,0433KP
3213,car,0.77,97,10,2,627,465,,,,,,
3475,car,0.77,101,0,73,635,478,,,,,,
3476,car,0.92,102,0,115,407,370,0.84,188,308,283,343,LCZIIJ
3476,car,0.77,103,0,109,218,287,,,,,,
3534,car,0.38,108,80,94,253,257,,,,,,
3599,car,0.61,110,19,2,638,477,,,,,,

--- An�lisis realizado: 2025-05-09 07:08:34 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
269,bus,0.48,1,7,2,596,480,,,,,,
310,car,0.93,9,67,135,489,479,0.51,190,349,292,404,65244
366,car,0.46,12,572,195,626,291,,,,,,
418,bus,0.81,22,56,113,501,479,0.17,154,341,272,406,7524VEA
422,car,0.66,27,415,177,531,370,,,,,,
424,bus,0.38,28,23,1,617,479,,,,,,
427,car,0.67,30,458,251,537,417,,,,,,
487,bus,0.44,42,46,1,544,480,,,,,,
492,bus,0.47,45,29,1,563,477,,,,,,

--- An�lisis realizado: 2025-05-09 07:14:07 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
676,car,0.87,2,300,216,639,434,,,,,,
903,car,0.74,6,466,123,640,264,,,,,,
919,car,0.89,9,230,23,624,215,,,,,,
924,car,0.79,10,441,336,640,480,,,,,,
1114,car,0.87,13,1,107,622,476,,,,,,
1115,car,0.5,14,38,9,639,365,,,,,,
1169,bus,0.33,20,0,45,453,337,,,,,,
1177,bus,0.43,21,0,33,406,342,,,,,,
1194,bus,0.34,22,1,52,444,342,,,,,,
1197,bus,0.68,23,1,1,450,339,,,,,,
1203,car,0.63,24,1,1,466,336,,,,,,
1226,car,0.44,27,15,0,492,316,,,,,,
1229,car,0.44,28,2,0,499,306,,,,,,
1237,car,0.32,29,1,0,514,293,,,,,,
1250,car,0.57,31,1,0,528,243,,,,,,
1418,car,0.73,35,0,179,198,437,,,,,,
1445,car,0.78,39,0,132,339,477,,,,,,
1731,car,0.83,44,0,146,611,479,,,,,,
1789,car,0.4,49,1,28,630,480,,,,,,
1880,car,0.82,55,1,62,311,471,,,,,,
1890,car,0.58,56,285,255,346,309,,,,,,
1994,car,0.51,74,607,130,640,204,,,,,,
2134,car,0.72,82,0,37,80,137,,,,,,
