epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3547.61,1.2484,0.7449,1.20818,0.84954,0.93363,0.95109,0.53053,1.48896,0.82579,1.27908,0.0011882,0.0011882,0.0011882
43,3632.39,1.24608,0.7269,1.16635,0.8769,0.95357,0.97248,0.54864,1.45788,0.75726,1.27514,0.0011684,0.0011684,0.0011684
44,3716.76,1.24639,0.7244,1.17729,0.85838,0.95453,0.96208,0.54771,1.46442,0.729,1.29852,0.0011486,0.0011486,0.0011486
45,3800.78,1.25202,0.70024,1.16991,0.91016,0.95728,0.9732,0.55723,1.44599,0.69308,1.27661,0.0011288,0.0011288,0.0011288
46,3885.04,1.23542,0.70319,1.17946,0.89736,0.93701,0.96292,0.53079,1.45763,0.74532,1.26762,0.001109,0.001109,0.001109
47,3969.43,1.20707,0.69285,1.15663,0.94441,0.95276,0.96935,0.56304,1.46847,0.73994,1.27841,0.0010892,0.0010892,0.0010892
48,4053.92,1.21668,0.66887,1.16166,0.93054,0.9494,0.97338,0.55017,1.49019,0.69365,1.2949,0.0010694,0.0010694,0.0010694
49,4137.86,1.19534,0.67983,1.14725,0.93091,0.91339,0.96205,0.55342,1.47114,0.73419,1.2724,0.0010496,0.0010496,0.0010496
50,4222.04,1.18995,0.67646,1.13317,0.90735,0.91339,0.96381,0.55815,1.46406,0.70885,1.27506,0.0010298,0.0010298,0.0010298
51,4306.44,1.19153,0.69719,1.13134,0.91452,0.92671,0.96814,0.57212,1.4415,0.68608,1.26105,0.00101,0.00101,0.00101
52,4390.74,1.14695,0.65525,1.13222,0.89832,0.95276,0.97869,0.55173,1.49153,0.70052,1.32106,0.0009902,0.0009902,0.0009902
53,4474.96,1.20457,0.6703,1.16644,0.90815,0.93701,0.96853,0.56447,1.43854,0.66021,1.27483,0.0009704,0.0009704,0.0009704
54,4559.3,1.19254,0.65185,1.16076,0.92244,0.93701,0.97136,0.55616,1.46241,0.68877,1.28145,0.0009506,0.0009506,0.0009506
55,4643.88,1.16469,0.64935,1.12904,0.94918,0.93701,0.9662,0.54146,1.51917,0.70339,1.31851,0.0009308,0.0009308,0.0009308
56,4716.94,1.16556,0.67671,1.13785,0.93706,0.93782,0.97586,0.55665,1.42263,0.67475,1.26186,0.000911,0.000911,0.000911
57,4786.92,1.19739,0.63734,1.128,0.9446,0.92126,0.96116,0.55569,1.44629,0.7011,1.27908,0.0008912,0.0008912,0.0008912
58,4855.83,1.17115,0.64941,1.12878,0.95626,0.93701,0.96992,0.5646,1.44295,0.67215,1.28035,0.0008714,0.0008714,0.0008714
59,4923.7,1.16396,0.62979,1.12333,0.96738,0.93399,0.97712,0.56134,1.4749,0.65424,1.29497,0.0008516,0.0008516,0.0008516
60,4990.94,1.11515,0.61955,1.11864,0.92332,0.96063,0.97629,0.5598,1.48345,0.64035,1.31871,0.0008318,0.0008318,0.0008318
61,5058.66,1.13641,0.63052,1.13707,0.93471,0.92913,0.97491,0.56925,1.46423,0.65867,1.28577,0.000812,0.000812,0.000812
62,5126,1.12231,0.63083,1.10684,0.93923,0.93701,0.98066,0.57057,1.447,0.638,1.28154,0.0007922,0.0007922,0.0007922
63,5193.75,1.16401,0.66517,1.14697,0.95422,0.92126,0.97233,0.56657,1.43587,0.65628,1.28111,0.0007724,0.0007724,0.0007724
64,5260.84,1.11041,0.60512,1.12248,0.93002,0.9418,0.97522,0.56426,1.46976,0.64778,1.28388,0.0007526,0.0007526,0.0007526
65,5328.52,1.05669,0.59619,1.09014,0.92384,0.97638,0.97981,0.57054,1.47753,0.63791,1.28099,0.0007328,0.0007328,0.0007328
66,5395.71,1.129,0.6232,1.12079,0.95186,0.9342,0.96579,0.55513,1.47911,0.6515,1.28658,0.000713,0.000713,0.000713
67,5463.41,1.06435,0.57699,1.08624,0.91449,0.93701,0.96534,0.56093,1.4529,0.67023,1.26282,0.0006932,0.0006932,0.0006932
68,5530.94,1.03996,0.56314,1.06708,0.93778,0.95276,0.97846,0.56512,1.45249,0.64556,1.26542,0.0006734,0.0006734,0.0006734
69,5598.06,1.09555,0.60425,1.10962,0.95978,0.92126,0.97657,0.55579,1.50161,0.62598,1.30239,0.0006536,0.0006536,0.0006536
